variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.04871938613856353,1.0499256856975292,0.24264538377931721,0.20078431074902778,0.8408672313151944,0.6525569740249647,1.6892685073736635,base
f.sexOther,0.5247313007307404,1.6900046843413234,0.7060044347534274,0.7432407997748671,0.4573359059963617,0.42358038817361116,6.742795258795107,base
f.age18-44,0.28197108370908,1.3257403839379,0.5362325170970066,0.5258373461489846,0.5990012239174746,0.4634645699476569,3.792280315628681,base
f.age45-54,-0.85800382010465015,0.4240076336144206,0.5044452162255939,-1.700886027871341,0.08896439078396262,0.15775717802184985,1.139615170717622,base
f.age65-74,-0.6241207694671966,0.5357322536615657,0.32325000671471127,-1.930768001554979,0.05351174913619138,0.28431311213159927,1.009482276288591,base
f.age75+,-0.22417416224052103,0.7991759359765848,0.3238192534006557,-0.6922817586857765,0.4887604032449337,0.42364974578093273,1.5075712496103089,base
f.raceBlack,0.3456074538369423,1.4128478989270987,0.5021296031100857,0.688283366876444,0.49127435400327424,0.5280583532676004,3.7801488664097476,base
f.raceAsian,-17.195197943312277,3.4058100131679456e-8,4161.480837909367,-0.00413199017683108,0.9967031582138718,0,Inf,base
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,base
f.raceAIAN,0.47641198910922006,1.6102862997344256,0.9071522299048554,0.5251731444888664,0.5994628321551654,0.2721032443202766,9.529551819897804,base
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,base
f.raceOther,0.33450581025876003,1.3972497081020554,0.5990004863498571,0.5584399643765662,0.5765439893643971,0.43192057158739844,4.520059648041638,base
f.ethnicityHispanic,0.4001922628741189,1.492111547719747,0.630215941123179,0.635008156348586,0.5254230954405628,0.4338708871404192,5.131473294999075,base
f.ethnicityUnknown,0.37864557398922377,1.4603053738042702,0.8009953188428874,0.4727188350316612,0.6364137870678935,0.3038332029291631,7.018626549708616,base
f.cancerMelanoma,-0.4835696570407417,0.6165784850366989,0.44362158581580524,-1.0900498814805715,0.27569117179273234,0.25845026861648335,1.470956212370152,base
f.cancerOther,-0.4498631590112854,0.6377154112586848,0.28463777690716224,-1.5804759434936608,0.11399791182184835,0.36504196829153923,1.1140662747907373,base
f.icianti_pdl1,0.1821868770692775,1.1998383952130758,0.34592620053956824,0.5266640017006701,0.5984269383104853,0.6090736897888073,2.3636091966583983,base
f.icictla4_containing,-0.029276694005485562,0.9711477165362422,0.35325692486643084,-0.0828764900123481,0.9339497479703314,0.4859509704429225,1.940788154973615,base
nci_cci_score,0.0696916151969521,1.0721774870231315,0.05083033851332444,1.3710633695402885,0.17035520258918957,0.9705095679756163,1.1844958582707346,base
ppi,-0.34967731634514143,0.7049155177387181,0.3019824308559906,-1.1579392726721098,0.24688881935675772,0.39002204930123846,1.2740456290589188,base
nsaid,0.18412223658452295,1.2021627623855549,0.28155199377784584,0.6539546536821959,0.5131410209701669,0.6923182494780593,2.0874725003363768,base
acei_arb,0.2231399909486969,1.2499955495510315,0.31671797829717374,0.7045384418920689,0.48109751887006647,0.6719201030689501,2.325408730533321,base
diuretic,0.334292965190493,1.3969523420401209,0.3179353845703815,1.0514493869319237,0.29305224345103764,0.749125361247221,2.60500571317244,base
