variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,-0.5639442452721859,0.568960512533319,0.22401789635971037,-2.5174071109329965,0.011822213821156597,0.3667733289500532,0.8826052476303707,S1_delta_0.3
f.sexOther,0.4294844983539629,1.5364652689863194,0.7602411153276195,0.5649319534222773,0.5721200487112078,0.34626160449515947,6.817751353757746,S1_delta_0.3
f.age18-44,0.2578775619385052,1.2941803519897397,0.5405779591761464,0.4770404667099575,0.6333333061175456,0.4485945665955922,3.7336671199279383,S1_delta_0.3
f.age45-54,-0.4641236276664171,0.6286858267008817,0.4588654929884543,-1.0114589890900667,0.3117968001805931,0.25576826285888554,1.5453280413944055,S1_delta_0.3
f.age65-74,-0.25056881327048625,0.7783579168169708,0.2967891478743311,-0.8442654155824598,0.39852110735167257,0.43506281583232015,1.392536950124358,S1_delta_0.3
f.age75+,-0.2644564152039144,0.7676231048349766,0.31888332574980094,-0.8293202994609055,0.40692318723096677,0.4108791079709219,1.434108524004561,S1_delta_0.3
f.raceBlack,0.6635220756555839,1.9416188340488465,0.4840373897777569,1.3708074823728729,0.17043497783661662,0.75188358403565,5.013919410899727,S1_delta_0.3
f.raceAsian,-17.698552745471346,2.0588096963213988e-8,3469.685903097878,-0.005100909200359996,0.9959300809523735,0,Inf,S1_delta_0.3
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.raceAIAN,-0.8368865187970252,0.4330567406524199,1.1468396320016714,-0.72973282004245,0.46555351556435715,0.04574600133640076,4.099552641670354,S1_delta_0.3
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.raceOther,0.40669042660233934,1.5018391042553874,0.5760355903679532,0.7060161444930139,0.48017809758373486,0.4856249871445881,4.644572982812918,S1_delta_0.3
f.ethnicityHispanic,-0.10557507801298655,0.8998069145955261,0.6069754145501135,-0.17393633330476516,0.8619154979817757,0.27383623602050994,2.956703230076821,S1_delta_0.3
f.ethnicityUnknown,-0.1087453216053897,0.8969588244452849,0.7743316755931349,-0.1404376509873385,0.888314211423617,0.19663471346521427,4.091521372662379,S1_delta_0.3
f.cancerMelanoma,-0.49953046989367444,0.6068155109856691,0.43130350092920766,-1.1581878394621825,0.24678738979034448,0.26057363282800317,1.4131324815041937,S1_delta_0.3
f.cancerOther,0.15187846570769983,1.1640187596389686,0.2792537263932442,0.5438726554138263,0.5865291071037187,0.6733777725665173,2.01215384289745,S1_delta_0.3
f.icianti_pdl1,0.2635891932889253,1.3015933831591093,0.32794536839226507,0.8037594632946259,0.4215359049854105,0.6844279373042155,2.4752720377785518,S1_delta_0.3
f.icictla4_containing,0.08492576022818314,1.0886362435919754,0.32549195102343403,0.260915085491834,0.7941579911478039,0.5752061728148594,2.060354924674117,S1_delta_0.3
nci_cci_score,0.012950678027056016,1.013034901247615,0.0475145363812676,0.27256244116825196,0.7851895866730404,0.9229537980441419,1.1119079994258645,S1_delta_0.3
ppi,-0.1167538959696434,0.8898041506068439,0.27099049793615326,-0.4308412909634611,0.6665837740122476,0.5231508041229743,1.5134286714219674,S1_delta_0.3
nsaid,-0.2254117848502321,0.7981874695694406,0.2670162480331205,-0.8441875223348663,0.39856462596549413,0.4729554815415597,1.347068088736557,S1_delta_0.3
acei_arb,0.20204547636511366,1.2239036655357576,0.30034048875370306,0.6727214076381253,0.5011245455946071,0.6793552688012202,2.204943792009012,S1_delta_0.3
diuretic,0.6090975320403659,1.838771217655147,0.2891751628168061,2.106327272741028,0.03517593386080352,1.0432330861401824,3.2409627683363817,S1_delta_0.3
f.sexFemale,-0.7649485319700973,0.46535788141132317,0.6248300785676475,-1.2242504933879872,0.22085774642639297,0.13675107421102792,1.5835923705977832,S2_KDIGO2
f.sexOther,-19.719897229957795,2.72745409182513e-9,25080.107007483562,-7.862764390946835e-4,0.9993726422333653,0,Inf,S2_KDIGO2
f.age18-44,1.305040420662161,3.687838155552597,1.0466335597105947,1.2468933453872992,0.21243660710730158,0.47410632818325144,28.685865286094337,S2_KDIGO2
f.age45-54,-1.2354731332004647,0.2906971913332044,1.2827308238863475,-0.9631585288153409,0.3354679733928799,0.023527640679677355,3.5917267778577995,S2_KDIGO2
f.age65-74,-0.8591283907067148,0.4235310751066745,0.7174975811554773,-1.1973955219795325,0.23115242823741994,0.10378873825743322,1.7283047717189939,S2_KDIGO2
f.age75+,-1.0755876613072834,0.3410972467372733,0.892497962141885,-1.2051429884792182,0.2281481068031307,0.059317463432066925,1.9614347107912762,S2_KDIGO2
f.raceBlack,0.7770995836482297,2.1751542545287235,1.1912693757402169,0.6523290193415446,0.5141889433918034,0.21061035979392892,22.464688041099826,S2_KDIGO2
f.raceAsian,-18.79417191716056,6.8832706198919746e-9,16509.293021676927,-0.0011383995603254213,0.9990916887629798,0,Inf,S2_KDIGO2
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.raceAIAN,-19.805085841215313,2.504727624100831e-9,16091.451819250186,-0.0012307830308712425,0.9990179774699021,0,Inf,S2_KDIGO2
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
